clientID;descriptionID;frameNr;sizeInBytes;entryTimestamp;completedTimestamp;isSender
0;0;41;0;1751357203690;1751357203695;true
0;2;42;0;1751357203722;1751357203725;true
0;1;42;0;1751357203722;1751357203726;true
0;0;42;0;1751357203722;1751357203727;true
0;2;43;0;1751357203753;1751357203754;true
0;1;43;0;1751357203753;1751357203755;true
0;0;43;0;1751357203753;1751357203757;true
0;2;44;0;1751357203789;1751357203793;true
0;1;44;0;1751357203789;1751357203794;true
0;0;44;0;1751357203789;1751357203794;true
0;2;45;0;1751357203822;1751357203824;true
0;1;45;0;1751357203822;1751357203826;true
0;0;45;0;1751357203822;1751357203827;true
0;2;46;0;1751357203857;1751357203859;true
0;1;46;0;1751357203858;1751357203860;true
0;0;46;0;1751357203857;1751357203862;true
0;2;47;0;1751357203890;1751357203893;true
0;1;47;0;1751357203890;1751357203894;true
0;0;47;0;1751357203890;1751357203895;true
0;2;48;0;1751357203921;1751357203923;true
0;1;48;0;1751357203921;1751357203925;true
0;0;48;0;1751357203921;1751357203926;true
0;2;49;0;1751357203956;1751357203957;true
0;1;49;0;1751357203956;1751357203960;true
0;0;49;0;1751357203956;1751357203960;true
0;2;50;0;1751357203990;1751357203993;true
0;1;50;0;1751357203990;1751357203994;true
0;0;50;0;1751357203990;1751357203995;true
0;2;51;0;1751357204022;1751357204024;true
0;1;51;0;1751357204022;1751357204025;true
0;0;51;0;1751357204022;1751357204026;true
0;2;52;0;1751357204053;1751357204056;true
0;1;52;0;1751357204053;1751357204058;true
0;0;52;0;1751357204053;1751357204060;true
0;2;53;0;1751357204087;1751357204088;true
0;1;53;0;1751357204087;1751357204090;true
0;0;53;0;1751357204087;1751357204091;true
0;2;54;0;1751357204121;1751357204122;true
0;1;54;0;1751357204121;1751357204125;true
0;0;54;0;1751357204121;1751357204126;true
0;2;55;0;1751357204154;1751357204156;true
0;1;55;0;1751357204154;1751357204158;true
0;0;55;0;1751357204154;1751357204159;true
0;2;56;0;1751357204189;1751357204190;true
0;1;56;0;1751357204189;1751357204191;true
0;0;56;0;1751357204189;1751357204192;true
0;2;57;0;1751357204219;1751357204223;true
0;1;57;0;1751357204219;1751357204224;true
0;0;57;0;1751357204219;1751357204224;true
0;2;58;0;1751357204253;1751357204256;true
0;1;58;0;1751357204254;1751357204257;true
0;0;58;0;1751357204254;1751357204258;true
0;1;59;0;1751357204288;1751357204289;true
0;2;59;0;1751357204288;1751357204290;true
0;0;59;0;1751357204288;1751357204292;true
0;1;60;0;1751357204320;1751357204322;true
0;2;60;0;1751357204320;1751357204323;true
0;0;60;0;1751357204320;1751357204324;true
0;1;61;0;1751357204356;1751357204358;true
0;2;61;0;1751357204356;1751357204359;true
0;0;61;0;1751357204356;1751357204360;true
0;2;62;0;1751357204386;1751357204389;true
0;1;62;0;1751357204386;1751357204389;true
0;0;62;0;1751357204386;1751357204390;true
0;2;63;0;1751357204417;1751357204418;true
0;1;63;0;1751357204417;1751357204420;true
