frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
243;60;2098275;169607;15
244;60;2105475;169559;16
245;60;2093895;169074;16
246;60;2105625;168201;16
247;60;2100885;167676;15
248;60;2107935;169440;16
249;60;2119380;170319;16
250;60;2116950;171831;16
251;60;2116560;172263;16
252;60;2150955;176012;16
253;60;2156940;177368;19
254;60;2172555;178068;19
255;60;2211255;182293;19
256;60;2246265;184615;20
257;60;2252625;186398;19
258;60;2259720;187406;18
259;60;2265120;188082;17
260;60;2256750;187683;18
261;60;2250330;186788;17
262;60;2247420;185903;18
263;60;2232015;184712;19
264;60;2242395;185846;17
265;60;2244675;184949;17
266;60;2254830;186169;16
267;60;2245770;186758;17
268;60;2231685;184410;17
269;60;2228775;184266;17
270;60;2213145;182146;17
271;60;2197590;182039;16
272;60;2192760;182085;22
273;60;2181825;179548;16
274;60;2179065;179537;17
275;60;2172525;177596;19
276;60;2167170;178920;16
277;60;2182260;179590;17
278;60;2175330;179796;16
279;60;2196960;180385;16
280;60;2195505;180922;16
281;60;2224035;182068;17
282;60;2224845;184407;17
283;60;2231430;184452;17
284;60;2236785;186191;17
285;60;2230605;186136;18
286;60;2226225;184357;18
287;60;2237610;185431;19
288;60;2261670;188383;17
289;60;2257680;187904;17
290;60;2263185;187256;16
291;60;2250900;189351;18
292;60;2254320;188533;17
293;60;2249715;187466;17
294;60;2251020;187338;18
295;60;2254560;188220;20
296;60;2249490;186831;17
297;60;2233005;185285;20
298;60;2224545;184439;18
299;60;2231370;184920;17
300;60;2233980;184048;16
301;60;2223450;182520;17
302;60;2216985;170093;16
303;60;2211840;182309;16
304;60;2209800;183097;18
305;60;2212320;183551;18
306;60;2233185;185112;17
307;60;2254710;188167;19
308;60;2250555;188058;17
309;60;2253795;188339;18
310;60;2251290;187932;17
311;60;2253180;188262;17
312;60;2265375;189802;17
313;60;2256735;189826;17
314;60;2251890;188679;17
315;60;2266020;178172;18
316;60;2264640;191503;17
317;60;2282805;192306;18
318;60;2304030;193672;18
319;60;2292135;193098;17
320;60;2299800;192605;17
321;60;2279745;191702;17
322;60;2297745;193114;17
323;60;2280015;192716;18
324;60;2278335;192285;18
325;60;2280045;191365;17
326;60;2300970;192959;17
327;60;2312955;194945;17
328;60;2301390;193791;17
329;60;2293410;192978;19
330;60;2258265;188359;17
331;60;2250465;185788;17
332;60;2261175;187717;17
333;60;2263020;188075;17
334;60;2238645;188204;17
335;60;2225910;187727;17
336;60;2243280;189430;17
337;60;2250165;189143;18
338;60;2240715;189212;20
339;60;2242200;189756;19
340;60;2250450;190458;17
341;60;2249175;189765;17
342;60;2246505;188649;18
343;60;2248260;189937;17
344;60;2259600;189952;18
345;60;2253750;190722;17
346;60;2255625;190048;18
347;60;2263740;189819;16
348;60;2257095;190221;17
349;60;2257335;190086;17
350;60;2246010;189979;16
351;60;2238555;190458;17
352;60;2243970;188761;18
353;60;2240190;188597;18
354;60;2239890;188788;17
355;60;2250465;188811;17
356;60;2237160;189077;17
357;60;2240280;188851;17
358;60;2239605;189325;17
359;60;2233080;188744;17
360;60;2245365;188690;18
361;60;2239200;187860;17
362;60;2242395;188009;17
363;60;2237310;189409;17
364;60;2249055;188714;17
365;60;2262375;191313;17
366;60;2250885;188561;17
367;60;2278650;189272;17
368;60;2252850;188083;18
369;60;2232090;187651;17
370;60;2209740;186485;16
371;60;2232060;187500;17
372;60;2232480;187732;17
373;60;2224830;174022;17
374;60;2238960;188834;17
375;60;2243790;188948;17
376;60;2237895;188835;18
377;60;2248365;189710;17
378;60;2256930;190339;18
379;60;2242035;187452;17
380;60;2232270;187428;18
381;60;2234520;187057;17
382;60;2225175;186980;17
383;60;2211765;185292;17
384;60;2209005;185660;18
385;60;2230800;187529;17
386;60;2227380;186763;16
387;60;2219805;187246;17
388;60;2228700;188021;17
389;60;2243850;188404;20
390;60;2231055;188891;17
391;60;2251725;188708;17
392;60;2234715;187034;17
393;60;2232615;187847;18
394;60;2239230;186981;17
395;60;2246730;188719;17
396;60;2244315;185633;17
397;60;2208300;185342;18
398;60;2253615;187963;17
399;60;2274300;190125;17
400;60;2279370;190694;17
401;60;2306835;193043;17
402;60;2306505;193348;17
403;60;2312625;192938;17
404;60;2304135;192021;17
405;60;2302035;192692;18
406;60;2280615;191241;18
407;60;2292000;191804;17
408;60;2296335;191327;17
409;60;2311035;191820;17
410;60;2298465;193230;17
411;60;2310600;194188;17
412;60;2308680;192586;17
413;60;2311125;191223;20
414;60;2298915;190436;18
415;60;2295255;190527;17
416;60;2284245;191242;18
417;60;2249940;187037;17
418;60;2218965;185602;17
419;60;2236875;187129;17
420;60;2228670;174394;18
421;60;2226915;188228;18
422;60;2222250;186036;18
423;60;2222325;186703;20
424;60;2205465;186616;16
425;60;2206890;184647;17
426;60;2213190;184732;19
427;60;2208855;184570;17
428;60;2214645;185828;17
429;60;2225460;186753;16
430;60;2225550;187138;16
431;60;2215605;185240;17
432;60;2214105;183366;17
433;60;2215290;185083;17
434;60;2190630;184173;18
435;60;2195670;182948;17
436;60;2192355;184434;17
437;60;2207955;183666;17
438;60;2227035;186141;17
439;60;2231820;186567;17
440;60;2236290;187932;17
441;60;2231715;187028;17
442;60;2236755;185972;17
443;60;2220390;185606;17
444;60;2215485;187159;17
445;60;2217465;185686;17
446;60;2217915;184927;17
447;60;2212860;186349;18
448;60;2242140;187811;16
449;60;2246385;188367;17
450;60;2256900;189330;17
451;60;2267070;189983;18
452;60;2275875;189692;18
453;60;2270295;188537;16
454;60;2279370;188932;17
455;60;2277180;189209;22
456;60;2273055;188591;17
457;60;2263245;189257;17
458;60;2240115;188775;18
459;60;2229210;187056;16
460;60;2224245;187137;17
461;60;2223420;186261;17
462;60;2233305;188529;20
463;60;2231430;187894;17
464;60;2246160;188995;19
465;60;2213490;187604;16
466;60;2240175;187743;17
467;60;2214390;186437;16
468;60;2217840;187544;25
469;60;2236785;188303;17
470;60;2230020;188586;17
471;60;2236770;189090;17
472;60;2229480;188630;17
473;60;2238255;187806;17
474;60;2242350;188084;18
