frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
243;15;2098275;50687;4
244;15;2105475;50766;4
245;15;2093895;50604;4
246;15;2105625;50351;4
247;15;2100885;50324;4
248;15;2107935;51097;5
249;15;2119380;50915;11
250;15;2116950;51261;4
251;15;2116560;51404;4
252;15;2150955;52466;4
253;15;2156940;53021;4
254;15;2172555;53264;5
255;15;2211255;54549;5
256;15;2246265;55054;5
257;15;2252625;55423;5
258;15;2259720;56079;5
259;15;2265120;56345;5
260;15;2256750;55819;5
261;15;2250330;55811;5
262;15;2247420;55487;5
263;15;2232015;54693;4
264;15;2242395;55620;5
265;15;2244675;55823;5
266;15;2254830;55829;5
267;15;2245770;55983;4
268;15;2231685;55207;4
269;15;2228775;55146;4
270;15;2213145;54362;4
271;15;2197590;54492;5
272;15;2192760;54007;5
273;15;2181825;53565;5
274;15;2179065;53745;4
275;15;2172525;52908;4
276;15;2167170;53842;5
277;15;2182260;54119;4
278;15;2175330;53818;4
279;15;2196960;54264;5
280;15;2195505;54007;5
281;15;2224035;54572;4
282;15;2224845;54669;5
283;15;2231430;55202;5
284;15;2236785;56074;5
285;15;2230605;55374;4
286;15;2226225;54882;5
287;15;2237610;55413;5
288;15;2261670;55981;5
289;15;2257680;56002;5
290;15;2263185;55925;5
291;15;2250900;56420;5
292;15;2254320;56042;5
293;15;2249715;56045;5
294;15;2251020;55624;5
295;15;2254560;56236;5
296;15;2249490;55910;5
297;15;2233005;55229;5
298;15;2224545;54652;5
299;15;2231370;55161;5
300;15;2233980;55053;5
301;15;2223450;54738;5
302;15;2216985;54008;4
303;15;2211840;54923;5
304;15;2209800;54497;5
305;15;2212320;54963;5
306;15;2233185;55758;5
307;15;2254710;55872;5
308;15;2250555;55798;4
309;15;2253795;55651;5
310;15;2251290;55683;5
311;15;2253180;56025;5
312;15;2265375;56270;4
313;15;2256735;56535;5
314;15;2251890;56094;5
315;15;2266020;53326;4
316;15;2264640;57183;5
317;15;2282805;57584;5
318;15;2304030;57506;5
319;15;2292135;57199;5
320;15;2299800;57547;5
321;15;2279745;57208;5
322;15;2297745;57483;5
323;15;2280015;57507;5
324;15;2278335;57033;5
325;15;2280045;57105;5
326;15;2300970;57736;4
327;15;2312955;57972;5
328;15;2301390;57442;5
329;15;2293410;57495;5
330;15;2258265;56116;5
331;15;2250465;55070;4
332;15;2261175;56332;5
333;15;2263020;56464;5
334;15;2238645;56689;5
335;15;2225910;56153;5
336;15;2243280;56096;5
337;15;2250165;56809;5
338;15;2240715;56769;6
339;15;2242200;56706;6
340;15;2250450;56826;5
341;15;2249175;56622;5
342;15;2246505;56548;5
343;15;2248260;56332;4
344;15;2259600;56723;5
345;15;2253750;57053;5
346;15;2255625;56943;5
347;15;2263740;56369;4
348;15;2257095;56748;4
349;15;2257335;57002;5
350;15;2246010;56662;5
351;15;2238555;56722;4
352;15;2243970;55900;5
353;15;2240190;56372;5
354;15;2239890;55645;5
355;15;2250465;56630;5
356;15;2237160;56365;4
357;15;2240280;56438;5
358;15;2239605;56591;4
359;15;2233080;55960;4
360;15;2245365;56076;4
361;15;2239200;56303;4
362;15;2242395;56182;6
363;15;2237310;56300;5
364;15;2249055;56312;5
365;15;2262375;56850;5
366;15;2250885;55757;4
367;15;2278650;56337;5
368;15;2252850;56337;5
369;15;2232090;55758;5
370;15;2209740;55509;5
371;15;2232060;56218;4
372;15;2232480;56132;5
373;15;2224830;52319;5
374;15;2238960;56179;5
375;15;2243790;56338;5
376;15;2237895;56049;5
377;15;2248365;56580;4
378;15;2256930;56771;4
379;15;2242035;55746;5
380;15;2232270;55936;5
381;15;2234520;55653;5
382;15;2225175;56120;4
383;15;2211765;55506;4
384;15;2209005;55535;4
385;15;2230800;56124;5
386;15;2227380;55510;5
387;15;2219805;55931;5
388;15;2228700;56503;5
389;15;2243850;56081;4
390;15;2231055;56178;4
391;15;2251725;56078;4
392;15;2234715;55626;4
393;15;2232615;55822;5
394;15;2239230;55773;5
395;15;2246730;55881;4
396;15;2244315;55623;5
397;15;2208300;55141;4
398;15;2253615;55980;4
399;15;2274300;57105;6
400;15;2279370;56600;5
401;15;2306835;57538;5
402;15;2306505;57358;5
403;15;2312625;57880;5
404;15;2304135;56824;5
405;15;2302035;57347;5
406;15;2280615;57168;4
407;15;2292000;57308;5
408;15;2296335;57061;5
409;15;2311035;57476;5
410;15;2298465;57715;6
411;15;2310600;58035;5
412;15;2308680;57476;5
413;15;2311125;56983;5
414;15;2298915;56739;5
415;15;2295255;56861;5
416;15;2284245;56713;5
417;15;2249940;55742;5
418;15;2218965;55359;5
419;15;2236875;56021;5
420;15;2228670;52790;5
421;15;2226915;56208;5
422;15;2222250;55476;6
423;15;2222325;55233;5
424;15;2205465;55550;5
425;15;2206890;55110;6
426;15;2213190;54989;5
427;15;2208855;55318;4
428;15;2214645;55418;4
429;15;2225460;55815;5
430;15;2225550;56183;5
431;15;2215605;55340;5
432;15;2214105;54527;5
433;15;2215290;55312;5
434;15;2190630;54712;4
435;15;2195670;54588;5
436;15;2192355;55309;4
437;15;2207955;54820;5
438;15;2227035;55673;5
439;15;2231820;55949;4
440;15;2236290;56310;5
441;15;2231715;55665;5
442;15;2236755;55777;4
443;15;2220390;55314;4
444;15;2215485;55759;5
445;15;2217465;54897;5
446;15;2217915;55357;4
447;15;2212860;55460;8
448;15;2242140;56145;5
449;15;2246385;56323;5
450;15;2256900;56177;4
451;15;2267070;56609;4
